product_id,sku,title,spec_sheet_url
6770319851564,"QQ.04-D3Q-A","Parisi Quadro Mixer  3-Way Diverter  Hand Shower - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255477125274
6770320212012,"QQ.01-3HS","Parisi Quadro Basin-Bath Set Swivel Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255476207770
6770320506924,"QQ.01-3H.LT","Parisi Quadro Basin-Bath Set Fixed Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255476175002
6770320703532,"QQ.01-3HS.LT","Parisi Quadro Basin-Bath Set Swivel Spout - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255476240538
6770321129516,"QQ.00.CH","Parisi Quadro Wall Top Assemblies - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475650714
6770321981484,"SF.05RF","Parisi Stella Flat Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475060890
6770322145324,"SF.05R","Parisi Stella Flat Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255474995354
6770322341932,"SF.04-D2R","Parisi Stella Flat Mixer Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255474864282
6770323259436,"SF.00.CH","Parisi Stella Flat Wall Top Assemblies (pair) - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255474503834
6770323652652,"SR.05RF","Parisi Stella Round Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475617946
6770323882028,"SR.04-D2R","Parisi Stella Round Mixer 2-Way Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475486874
6770324045868,"SR.04-D3R","Parisi Stella Round Mixer 3-Way Diverter - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7255475552410
6770324897836,"SR.00.CH","Parisi Stella Round Wall Top Assemblies (pair) - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7268515774618
6770327650348,"EE.08-D2W","Parisi Ellisse Shower Column Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184105406618
6770327715884,"QQ.08-D2W","Parisi Quadro Shower Column Mixer - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184106913946
6770327814188,"EE.08-1W","Parisi Ellisse Shower Riser & Head - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184105373850
6770327945260,"EE.SR","Parisi Ellisse Shower Rail Set - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184105570458
6770327978028,"LT.SR","Parisi Laser Rail Shower Set",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184105963674
6770328043564,"EB.RO","Parisi Blade Shower Rail - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184105275546
6770328141868,"QQ.SR","Parisi Quadro Shower Rail Set - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107569306
6770328207404,"ST.SR","Parisi Stella Rail Set Shower - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107667610
6770328436780,"TO.SH.S200T","Parisi Tondo Turbo 200 Shower Head - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184108355738
6770328600620,"OV.SH.B300","Parisi Ovo Brass 300 Shower Head - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184106389658
6770328633388,"OV.SH.S300T","Parisi Ovo Turbo 300mm Shower Head - Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184106422426
6770328698924,"OV.SH.A300","Parisi Ovo ABS 300 Shower Head - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184106324122
6770328797228,"QQ.SH.S200T","Parisi Quadro Turbo 200mm Shower Head - Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107438234
6770328829996,"QQ.SH.S300T","Parisi Quadro Turbo Shower Head - Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107471002
6770328993836,"QQ.CS300","Parisi Quadro Ceiling Shower 300mm - Polished Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184106946714
6770329059372,"QQ.CS400","Parisi Quadro Ceiling Shower 400mm - Polished Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107012250
6770329124908,"TO.CS300","Parisi Tondo Ceiling Shower 300mm - Polished Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107700378
6770329223212,"TO.CS400","Parisi Tondo Ceiling Shower 400mm - Polished Stainless Steel",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107733146
6770329255980,"QQ.SA.1W","Parisi Quadro Wall Arm 418mm - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107143322
6770329321516,"QQ.SA.1WA","Parisi Quadro Angled Shower Arm - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107176090
6770329387052,"TO.SA.1WA","Parisi Tondo Angled Shower Arm - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107995290
6770329452588,"QQ.SA.1C","Parisi Quadro Ceiling Arm 200mm - Chrome",https://parisiselection.com.au/subdomains/pdf/specification.php?pid=7184107110554
